Meldungen Portionen
271 310
65 94
217 227
291 335
139 157
165 185
226 251
124 141
142 156
256 294
116 147
109 144
203 216
203 247
203 242
206 238
251 264
161 192
57 85
283 315
90 117
154 192
263 310
247 259
132 178
96 118
56 98
232 264
222 255
128 138
213 254
61 90
87 120
173 205
126 176
119 134
223 240
250 298
280 321
300 332
176 224
161 178
63 108
258 285
149 191
164 179
107 136
273 285
228 240
211 226
146 159
166 190
61 82
219 243
251 258
145 184
231 248
86 107
222 240
53 101
94 109
67 109
130 163
264 273
164 189
153 202
53 90
182 230
89 130
272 300
174 191
54 74
286 306
159 170
208 222
260 265
291 310
213 242
119 146
252 264
253 290
60 71
156 171
218 265
50 97
65 79
89 124
229 262
92 142
84 89
211 260
181 198
293 323
93 105
219 265
115 120
219 261
109 142
217 255
65 96
